Company,Exchange,Drug_Name,FDA_Scientific_Name,Date,Classification,Day_-5_Simple,Day_-5_Log,Day_-4_Simple,Day_-4_Log,Day_-3_Simple,Day_-3_Log,Day_-2_Simple,Day_-2_Log,Day_-1_Simple,Day_-1_Log,Day_0_Simple,Day_0_Log,Day_+1_Simple,Day_+1_Log,Day_+2_Simple,Day_+2_Log,Day_+3_Simple,Day_+3_Log,Day_+4_Simple,Day_+4_Log,Day_+5_Simple,Day_+5_Log,Cumulative_Simple_-5_to_-1,Cumulative_Log_-5_to_-1,Cumulative_Simple_+1_to_+5,Cumulative_Log_+1_to_+5
Dr. Reddy's,NSE,Unknown Drug,Unknown Drug,2015-11-25,Bad,-0.018890969121251135,-0.019080613166299835,-0.019006455187182594,-0.019243265244419695,-0.01500618876532714,-0.015336893625105241,0.023011481207153014,0.022774179058273114,0.012819959754889369,0.012681297222219567,0.0026340586829334805,0.00261399747118208,-0.07381843671387964,-0.07762216770942554,-0.00505247579605235,-0.00505258518099775,0.009403089824182188,0.009397144149733389,0.01856593395768587,0.018050747088779875,0.004288549640884522,0.004208691628055221,-0.017072172111718485,-0.018205295755332095,-0.04661333908717941,-0.051018170023854795
Dr. Reddy's,NSE,Unknown Drug,Unknown Drug,2017-05-01,Bad,0.007515132015049062,0.007514403998425861,-0.021013215955286824,-0.02109302714447372,0.0018174234530115956,0.0017276328633536956,0.001446719924672035,0.0014320814188284355,0.0034127926738115487,0.0034122916994645492,0.005584599693290957,0.005564364797507256,0.02183071427357778,0.02181818516311608,-0.005356006435417822,-0.005364012591539723,0.005992326190482695,0.005991662856541995,-0.009028303840929832,-0.009028765310468333,-0.004011359656417829,-0.004039181260253729,-0.0068211478887425835,-0.007006617164401179,0.00942737053129499,0.009377888857396292
Dr. Reddy's,NSE,Unknown Drug,Unknown Drug,2017-10-20,Bad,-0.00960888903579533,-0.009614145810043028,-0.002929092040869769,-0.0029864566900287704,0.0027710458368770848,0.0025570068237217858,-0.014777565644055973,-0.014820294093656672,0.0088589812758179,0.0088575366556304,0.004402037570156179,0.00438858902734258,0.0074716112543727845,0.0074674368244781845,0.0001155017637309633,0.0001149207300802633,0.0018343255137272668,0.0018146398637382665,-0.006209743972231417,-0.006211581448599417,0.011165435983054939,0.010935804436792538,-0.01568551960802609,-0.016006353114376284,0.014377130542654536,0.014121220406489835
Dr. Reddy's,NSE,Unknown Drug,Unknown Drug,2019-02-14,Bad,-0.005202474438418188,-0.005266269217618789,-0.016608071060689664,-0.016673768785986965,-0.008658055299886705,-0.008830630342452605,-0.03059305193912682,-0.03220608003950692,0.0043018992323191774,0.0042019573388668765,0.0018368457663073233,0.0018214417208842239,0.0004151131204104472,-0.0003638939351249537,0.012152357388794116,0.012151989331325117,-0.011885418991506403,-0.011948239744059603,-0.011220332550950772,-0.011231092054099672,0.010045328010371543,0.009756758294212246,-0.0567597535058022,-0.058774791046698395,-0.0004929530228810694,-0.001634478107746867
Dr. Reddy's,NSE,Nexium On Quality,Nexium On Quality,2020-05-12,Bad,-0.0035340322740810524,-0.0038964558210821502,0.0012826961897583347,0.0012709656005391355,0.0025110841065694067,0.0025036359396928064,0.005568585360513571,0.00485940975611087,-0.010011314941773652,-0.01048997917354465,-0.0077605488439511094,-0.008027800117565608,0.015310203350328967,0.015308855037738467,-0.00871797737172049,-0.008797952364395088,0.01251179785590354,0.01251145303669684,-0.007297758207914993,-0.007411085815339994,-0.0012784423480411778,-0.0012938331883549778,-0.004182981559013392,-0.005752423698283989,0.01052782327855585,0.010317436706345245
Dr. Reddy's,NSE,Unknown Drug,Unknown Drug,2021-12-03,Bad,0.03006043755882561,0.029472175408681214,-0.001835584325593092,-0.0018989911310132931,-0.0003201685960690136,-0.00033092056362831346,-0.015371550419923816,-0.015483120650195716,0.0024466186534693474,0.0023722673144779462,-0.0026224966661116574,-0.0027244017915655575,-0.0015600749798921378,-0.0017896949947462382,0.0004399049143765316,0.0004279860855216323,-0.018282829518700847,-0.018343547355502546,0.011219117531145913,0.011205890076006714,0.00021167174349911048,0.0002116503772511105,0.014979752870709037,0.014131410378321838,-0.00797221030957143,-0.008287715811469325
Dr. Reddy's,NSE,Unknown Drug,Unknown Drug,2023-11-30,Bad,-0.0013310685308464305,-0.0013361951292361306,0.0012545786290260436,0.0012483932667195436,0.0005018959980194843,0.0005018607172184843,0.008122635973941764,0.008108895195373365,-0.0028556104716446215,-0.002879775076149421,0.0005910139747250711,0.0005105715039826712,-0.008747516855250744,-0.008770026608797044,0.0011871698123107454,0.0011865115538918453,-0.002675980573790816,-0.002682277243800216,-0.0016672282065499575,-0.0016992456648136575,0.004661309179266742,0.004615952945710342,0.005692431598496239,0.0056431789739258414,-0.0072422466440140295,-0.007349085017808731
Dr. Reddy's,NSE,Unknown Drug,Unknown Drug,2024-02-12,Bad,-0.01579875225892862,-0.01583989455490392,-0.009774202082946711,-0.009843729299460311,0.006169759256972212,0.006167488831815912,0.0036386844407036117,0.0036335925636603117,0.0032594689982034537,0.0032592365033135536,0.027914643652316846,0.027506071909396447,-0.0016468386101201587,-0.0016468812279358586,-0.008732943690435525,-0.008807406940808025,-0.0010919229855674692,-0.0010923379651320694,-0.007345106259982276,-0.0073979486107283755,0.002120421025179642,0.0019964330394512415,-0.012505041645996055,-0.012623305955574458,-0.016696390520925787,-0.01694814170515309
Dr. Reddy's,NSE,Unknown Drug,Unknown Drug,2024-06-25,Bad,-0.004951000013892093,-0.0050715523346962915,-0.003822111717206458,-0.0038392911135924582,-0.0011102428933506205,-0.0011132425153578206,0.003100016576542822,0.0030769463345326218,0.002574384804326693,0.002548329434254393,0.0034796683672490376,0.0034721875817690377,-0.016186925284019774,-0.016187869782531877,0.02543334940014828,0.02506674949925148,0.012915246994164138,0.01256522388206064,-0.01061382121201146,-0.01064283930781516,0.0021679358066753907,0.0021645492461122907,-0.004208953243579655,-0.004398810194859556,0.013715785704956575,0.012965813537077374
Dr. Reddy's,NSE,Revlimid,Revlimid,2025-02-10,Bad,0.005267421392620084,0.005267004389800183,-0.0009238957928017905,-0.0010125351025355896,-0.009755889428234748,-0.009775214917841949,-6.413101342737492e-05,-9.147299974077497e-05,0.009223102264598838,0.009218513975579738,0.0010219348202969436,0.0008976953022634439,0.013113102220910975,0.013071148822332174,0.010266227208775887,0.010253764736154088,-0.008288534268030067,-0.008308763264417669,0.003012792907887637,0.0027739235836556353,0.0005251652110563566,0.0005239069995825565,0.003746607422755008,0.0036062953452616073,0.018628753280600787,0.018313980877306783
